Kind,Name,AvgCyclomatic,CountLine,CountLineCode
Package,"(Unnamed_Package)",2,4024,2327
Public Class,"AddEventRequest",1,55,38
Protected Constructor,"AddEventRequest.AddEventRequest",,8,7
Public Method,"AddEventRequest.getDate",,3,3
Public Method,"AddEventRequest.getEventId",,3,3
Public Method,"AddEventRequest.getTitle",,3,3
Public Method,"AddEventRequest.setDate",,3,3
Public Method,"AddEventRequest.setEventId",,3,3
Public Method,"AddEventRequest.setTitle",,3,3
Public Method,"AddEventRequest.submit",,7,4
Public Method,"AddEventRequest.toString",,4,4
Public Class,"CalEvent",1,101,58
Public Constructor,"CalEvent.CalEvent",,27,8
Public Method,"CalEvent.getDate",,3,3
Public Method,"CalEvent.getDay",,4,3
Public Method,"CalEvent.getEditURL",,3,3
Public Method,"CalEvent.getId",,3,3
Public Method,"CalEvent.getJSONObject",,14,10
Public Method,"CalEvent.getTitle",,3,3
Public Method,"CalEvent.getVersionId",,3,3
Public Method,"CalEvent.setDate",,3,3
Public Method,"CalEvent.setId",,3,3
Public Method,"CalEvent.setTitle",,3,3
Public Method,"CalEvent.toString",,4,4
Public Class,"CalendarController",2,376,217
Public Method,"CalendarController.addEvent",,54,29
Public Method,"CalendarController.clearCalendar",,7,4
Public Method,"CalendarController.deleteEvent",,40,29
Public Method,"CalendarController.destroy",,3,3
Public Method,"CalendarController.getConflicts",,12,12
Public Method,"CalendarController.goOffline",,4,4
Public Method,"CalendarController.goOnline",,19,12
Public Method,"CalendarController.init",,24,21
Anonymous Class,"CalendarController.init.(Anon_2)",1,15,12
Public Method,"CalendarController.init.(Anon_2).run",,13,10
Public Method,"CalendarController.isOnline",,3,3
Private Method,"CalendarController.log",,3,3
Public Method,"CalendarController.logSql",,7,3
Public Method,"CalendarController.login",,59,13
Public Method,"CalendarController.refresh",,37,21
Public Method,"CalendarController.start",,3,3
Private Method,"CalendarController.startConsole",,15,15
Anonymous Class,"CalendarController.startConsole.(Anon_1)",1,10,10
Public Method,"CalendarController.startConsole.(Anon_1).run",,8,8
Public Method,"CalendarController.stop",,3,3
Public Method,"CalendarController.updateEvent",,36,26
Public Class,"DatabaseManager",1,198,140
Public Static Method,"DatabaseManager.beginTransaction",,8,8
Public Static Method,"DatabaseManager.clearTables",,14,9
Public Static Method,"DatabaseManager.commitTransaction",,8,8
Private Static Method,"DatabaseManager.createTables",,20,18
Public Static Method,"DatabaseManager.dropTables",,21,16
Public Static Method,"DatabaseManager.executeQueryNoParams",,12,5
Public Static Method,"DatabaseManager.executeUpdate",,15,10
Public Static Method,"DatabaseManager.getConnection",,8,7
Private Static Method,"DatabaseManager.initDataSource",,8,8
Public Static Method,"DatabaseManager.initDatabase",,15,11
Public Static Method,"DatabaseManager.logSql",,4,4
Public Static Method,"DatabaseManager.releaseConnection",,7,5
Public Static Method,"DatabaseManager.rollbackTransaction",,8,8
Private Static Method,"DatabaseManager.tableDoesntExist",,4,4
Private Static Method,"DatabaseManager.tableExists",,16,13
Public Class,"DeleteEventRequest",1,39,28
Protected Constructor,"DeleteEventRequest.DeleteEventRequest",,6,5
Public Method,"DeleteEventRequest.getEditURL",,3,3
Public Method,"DeleteEventRequest.getEventId",,3,3
Public Method,"DeleteEventRequest.setEditURL",,3,3
Public Method,"DeleteEventRequest.setEventId",,3,3
Public Method,"DeleteEventRequest.submit",,3,3
Public Method,"DeleteEventRequest.toString",,4,4
Public Class,"EventManager",2,184,136
Public Static Method,"EventManager.addEvent",,28,25
Public Static Method,"EventManager.deleteEvent",,13,12
Public Static Method,"EventManager.getEvent",,28,21
Public Static Method,"EventManager.getEvents",,26,18
Public Static Method,"EventManager.refresh",,19,9
Public Static Method,"EventManager.updateEvent",,30,28
Public Static Method,"EventManager.updateEventId",,28,21
Public Class,"GCalendar",2,409,224
Public Constructor,"GCalendar.GCalendar",,53,26
Anonymous Class,"GCalendar.GCalendar.(Anon_1)",1,11,8
Public Method,"GCalendar.GCalendar.(Anon_1).run",,9,6
Public Method,"GCalendar.addEvent",,62,35
Anonymous Class,"GCalendar.addEvent.(Anon_2)",1,5,5
Public Method,"GCalendar.addEvent.(Anon_2).run",,3,3
Public Method,"GCalendar.clearCalendar",,9,6
Private Method,"GCalendar.createDerbyCalEvent",,18,9
Private Method,"GCalendar.createEventEntry",,29,19
Public Method,"GCalendar.deleteEvent",,24,16
Anonymous Class,"GCalendar.deleteEvent.(Anon_4)",1,6,6
Public Method,"GCalendar.deleteEvent.(Anon_4).run",,4,4
Public Method,"GCalendar.getEvents",,46,25
Anonymous Class,"GCalendar.getEvents.(Anon_5)",1,13,10
Public Method,"GCalendar.getEvents.(Anon_5).run",,11,8
Private Method,"GCalendar.getNextDay",,15,9
Private Method,"GCalendar.handleException",,71,41
Private Method,"GCalendar.parseId",,10,6
Public Method,"GCalendar.updateEvent",,36,19
Anonymous Class,"GCalendar.updateEvent.(Anon_3)",1,5,5
Public Method,"GCalendar.updateEvent.(Anon_3).run",,3,3
Public Abstract Class,"GCalendarRequest",1,28,14
Public Constructor,"GCalendarRequest.GCalendarRequest",,3,3
Public Method,"GCalendarRequest.getId",,3,3
Public Method,"GCalendarRequest.setId",,3,3
Public Abstract Method,"GCalendarRequest.submit",,5,1
Public Abstract Method,"GCalendarRequest.toString",,1,1
Public Class,"LocCompare",5,622,480
Private Static Method,"LocCompare.chatterMsg",,14,11
Private Static Method,"LocCompare.checkExistsFile",,11,7
Private Static Method,"LocCompare.checkISO8559",,17,13
Public Static Method,"LocCompare.compare",,162,121
Public Static Method,"LocCompare.compareParameterSequenceNumbers",,21,21
Public Static Method,"LocCompare.compareUpperCaseStrings",,36,34
Public Static Method,"LocCompare.countAndCompareCountCharacter",,33,23
Public Static Method,"LocCompare.countCharacter",,25,15
Public Static Method,"LocCompare.findUpperCaseStrings",,39,34
Private Static Method,"LocCompare.logMsg",,9,6
Private Static Method,"LocCompare.lookAtDoubleQuotes",,20,12
Private Static Method,"LocCompare.lookAtSingleQuotes",,35,24
Private Static Method,"LocCompare.lookForForeignErrorString",,34,29
Public Static Method,"LocCompare.main",,124,112
Public Class,"NetworkDownException",1,13,9
