Kind,Name,AvgCyclomatic,CountLine,CountLineCode
Package,"(Unnamed_Package)",2,488,338
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/build.xml",0,576,452
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/bmt_example/CassandraBulkLoader.java",3,294,208
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/circuit/build.xml",0,59,37
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/circuit/src/org/apache/cassandra/contrib/circuit/AboutDialog.java",1,82,55
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/circuit/src/org/apache/cassandra/contrib/circuit/CircuitFrame.java",1,247,184
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/circuit/src/org/apache/cassandra/contrib/circuit/RingModel.java",1,249,167
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/circuit/src/org/apache/cassandra/contrib/circuit/RingPanel.java",3,168,122
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/client_only/ClientOnlyExample.java",4,140,88
Module File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/hadoop_streaming_output/bin/mapper.py",3,43,6
Module File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/hadoop_streaming_output/bin/reducer.py",2,72,31
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/javautils/build.xml",0,87,61
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/javautils/src/main/java/org/apache/cassandra/contrib/utils/service/CassandraServiceDataCleaner.java",1,103,42
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/javautils/src/test/java/org/apache/cassandra/contrib/utils/service/CassandraServiceTest.java",1,127,67
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/pig/build.xml",0,74,48
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/pig/src/java/org/apache/cassandra/hadoop/pig/CassandraStorage.java",2,168,118
Module File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/py_stress/avro_stress.py",4,376,311
Module File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/py_stress/stress.py",4,521,442
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/word_count/build.xml",0,111,78
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/word_count/ivy.xml",0,24,6
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/word_count/src/WordCount.java",2,205,149
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/contrib/word_count/src/WordCountSetup.java",1,143,101
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationException.java",1,344,243
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthenticationRequest.java",2,389,282
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/AuthorizationException.java",1,344,243
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/Cassandra.java",2,26801,21536
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/CfDef.java",3,2147,1846
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/Column.java",2,653,513
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnDef.java",2,657,511
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnOrSuperColumn.java",2,443,326
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnParent.java",2,454,338
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/ColumnPath.java",2,565,433
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/ConsistencyLevel.java",2,102,37
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/Constants.java",0,49,19
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/Deletion.java",2,544,423
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexClause.java",2,585,459
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexExpression.java",2,573,435
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexOperator.java",2,74,34
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/IndexType.java",1,62,22
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/InvalidRequestException.java",1,345,243
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/KeyCount.java",2,448,337
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/KeyRange.java",2,756,603
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/KeySlice.java",2,494,374
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/KsDef.java",3,810,662
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/Mutation.java",2,438,326
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/NotFoundException.java",1,241,154
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/RowPredicate.java",0,0,0
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/SlicePredicate.java",2,483,361
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/SliceRange.java",2,669,515
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/SuperColumn.java",2,493,374
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/TimedOutException.java",1,241,154
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/TokenRange.java",2,572,451
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/interface/thrift/gen-java/org/apache/cassandra/thrift/UnavailableException.java",1,241,154
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/ivy.xml",0,37,14
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/ivysettings.xml",0,33,14
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/auth/AllowAllAuthenticator.java",1,49,22
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/auth/AllowAllAuthority.java",1,41,16
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/auth/AuthenticatedUser.java",1,52,23
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/auth/IAuthenticator.java",0,42,10
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/auth/IAuthority.java",0,66,9
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/auth/Permission.java",1,38,9
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/auth/Resources.java",3,51,21
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/auth/SimpleAuthenticator.java",3,152,110
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/auth/SimpleAuthority.java",10,157,113
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/avro/AvroRecordFactory.java",1,202,153
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/avro/AvroValidation.java",3,336,259
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/avro/CassandraDaemon.java",2,85,49
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/avro/CassandraServer.java",3,1149,944
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/avro/KeyspaceNotDefinedException.java",1,34,9
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cache/AbstractCache.java",3,46,22
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cache/IAggregatableCacheProvider.java",0,28,6
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cache/InstrumentedCache.java",1,142,101
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cache/JMXInstrumentedCache.java",1,31,9
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cache/JMXInstrumentedCacheMBean.java",0,42,10
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cli/CliClient.java",4,1979,1400
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cli/CliCompiler.java",2,173,108
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cli/CliCompleter.java",1,79,57
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cli/CliMain.java",5,394,291
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cli/CliOptions.java",7,161,104
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cli/CliSessionState.java",1,86,50
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cli/CliUserHelp.java",9,365,313
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/cli/CliUtils.java",8,152,103
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/client/RingCache.java",2,137,98
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/concurrent/AIOExecutorService.java",1,309,68
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/concurrent/Context.java",1,51,23
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/concurrent/DebuggableThreadPoolExecutor.java",3,106,68
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/concurrent/IExecutorMBean.java",0,38,7
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/concurrent/JMXConfigurableThreadPoolExecutor.java",1,38,16
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/concurrent/JMXConfigurableThreadPoolExecutorMBean.java",0,28,6
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/concurrent/JMXEnabledThreadPoolExecutor.java",1,133,86
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/concurrent/JMXEnabledThreadPoolExecutorMBean.java",0,23,4
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/concurrent/NamedThreadFactory.java",1,55,25
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/concurrent/RetryingScheduledThreadPoolExecutor.java",1,114,75
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/concurrent/Stage.java",3,65,41
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/concurrent/StageManager.java",1,102,57
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/config/CFMetaData.java",2,930,807
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/config/ColumnDefinition.java",2,184,139
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/config/Config.java",1,122,67
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/config/ConfigurationException.java",1,32,12
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/config/Converter.java",11,355,262
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/config/DatabaseDescriptor.java",1,1117,884
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/config/KSMetaData.java",2,131,101
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/config/RawColumnDefinition.java",0,32,9
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/config/RawColumnFamily.java",0,49,23
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/config/RawKeyspace.java",0,36,10
File,"/Volumes/KILBY USB/cassandra-0.7.0/cassandra-cassandra-0.7.0/src/java/org/apache/cassandra/config/ReplicationStrategy.java",0,30,7
